English,Russian
organize,организовать
orientation,ориентация
origin,источник
original,оригинал
originally,Первоначально
other,разное
others,другие
otherwise,иначе
ought,должен
our,наш
ourselves,сами
out,вне
outcome,исход
outside,за пределами
oven,духовой шкаф
over,над
overall,в общем и целом
overcome,превосходить
overlook,не заметить
owe,быть должным
own,собственный
owner,владелец
pace,шаг
pack,пакет
package,упаковка
page,страница
pain,боль
painful,болезненный
paint,краска
painter,художник
painting,картина
pair,пара
pale,бледный
Palestinian,Палестинский
palm,ладонь
pan,Сковорода
panel,панель
pant,заправлять
paper,бумага
parent,родитель
park,парк
parking,стоянка
part,часть
participant,участник
participate,участвовать
participation,участие
particular,особый
particularly,особенно
partly,частично
partner,партнер
partnership,партнерство
party,партия
pass,проходить
passage,проход
passenger,пассажирский
passion,страсть
past,мимо
patch,пластырь
path,дорожка
patient,пациент
pattern,шаблон
pause,Пауза
pay,платить
payment,оплата
PC,ПК
peace,мир
peak,пик
peer,вглядеться
penalty,пенальти
people,люди
pepper,перец
per,нами
perceive,понимать
percentage,процент
perception,восприятие
perfect,идеально
perfectly,прекрасно
perform,выполнять
performance,представление
perhaps,возможно
period,период
permanent,постоянный
permission,разрешение
permit,разрешать
person,человек
personal,личный
personality,личность
personally,лично
personnel,персонал
perspective,перспектива
persuade,убеждать
pet,домашний питомец
phase,фаза
phenomenon,феномен
philosophy,философия
phone,Телефон
photo,Фото
photograph,фотография
photographer,фотограф
phrase,фраза
physical,физический
physically,физически
physician,врач
piano,фортепиано
pick,выбирать
picture,картина
pie,пирог
piece,кусок
pile,куча
pilot,пилота
pine,сосна
pink,розовый
pipe,трубка
pitch,подача
place,место
plan,строить планы
plane,самолет
planet,планета
planning,планирование
plant,растение
plastic,пластик
plate,пластина
platform,Платформа
play,играть
player,игрок
please,пожалуйста
pleasure,удовольствие
plenty,множество
plot,участок
plus,плюс
PM,ВЕЧЕРА
pocket,карман
poem,стих
poet,поэт
poetry,поэзия
point,точка
pole,столб
police,полиция
policy,политика
political,политический
politically,политически
politician,политик
politics,политика
poll,опрос
pollution,загрязнение
pool,бассейн
poor,бедных
pop,поп
popular,популярный
population,Население
porch,порог
port,порт
portion,часть
portrait,портрет
portray,изображать
pose,поза
position,позиция
positive,положительный
possess,владеть
possibility,возможность
possible,возможно
possibly,возможно
post,сообщение
pot,горшок
potato,картофель
potential,потенциал
potentially,потенциально
pound,фунт
pour,залить
poverty,бедность
powder,пудра
power,власть
powerful,мощный
practical,практично
practice,упражняться
pray,молиться
prayer,молитва
precisely,точно
predict,предсказывать
prefer,предпочитать
preference,предпочтение
pregnancy,беременность
pregnant,беременная
preparation,подготовка
prepare,подготовить
prescription,рецепт
presence,присутствие
present,настоящее время
presentation,презентация
preserve,сохранять
president,президент
presidential,президентский
press,нажимать
pressure,давление
pretend,делать вид
pretty,симпатичный
prevent,не допустить
previous,предыдущий
previously,ранее
price,цена
pride,гордость
priest,священник
primarily,в первую очередь
primary,начальный
prime,основной
principal,главный
principle,принцип
print,Распечатать
prior,прежний
priority,приоритет
prison,тюрьма
prisoner,заключенный
privacy,Конфиденциальность
private,частный
probably,наверное
problem,проблема
procedure,процедура
proceed,продолжить
process,обработать
produce,производить
producer,режиссер
product,товар
production,производство
profession,профессия
professional,профессиональный
professor,профессор
profile,профиль
profit,выгода
program,программа
progress,прогресс
project,проект
prominent,видный
promise,обещать
promote,продвигать
prompt,быстрый
proof,доказательство
proper,правильный
properly,должным образом
property,имущество
proportion,пропорционально
proposal,предложение
propose,проложить
proposed,предложенный
prosecutor,прокуратура
prospect,проспект
protect,защищать
protection,защита
protein,белок
protest,акция протеста
proud,гордый
prove,доказывать
provide,предоставлять
provider,провайдер
province,провинция
provision,обеспечение
psychological,психологический
psychologist,психолог
psychology,психология
public,публичный
publication,публикация
publicly,публично
publish,публиковать
publisher,издательство
pull,тянуть
punishment,наказание
purchase,покупка
pure,чистый
purpose,цель
pursue,преследовать
push,толкать
put,помещать
qualify,квалифицировать
quality,качественный
quarter,четверть
quarterback,защитник
question,вопрос
quick,быстро
quickly,быстро
quiet,тихий
quietly,тихо
quit,покидать
quite,довольно
quote,Цитировать
race,раса
racial,расовый
radical,радикал
radio,радио
rail,рельс
rain,дождь
raise,поднимать
range,спектр
rank,классифицировать
rapid,стремительный
rapidly,быстро
rare,редкий
rarely,редко
rate,показатель
rather,скорее
rating,рейтинг
ratio,соотношение
raw,сырой
reach,достигать
react,реагировать
reaction,реакция
read,читать
reader,читатель
reading,чтение
ready,готов
real,настоящий
reality,реальность
realize,понимать
really,В самом деле
reason,причина
reasonable,разумный
recall,отзывать
receive,получать
recent,недавний
recently,совсем недавно
recipe,рецепт блюда
recognition,признание
recognize,распознавать
recommend,рекомендовать
recommendation,рекомендация
record,записывать
recording,запись
recover,восстанавливаться
recovery,восстановление
recruit,принять на работу
red,красный
reduce,уменьшать
reduction,снижение
refer,ссылаться
reference,ссылка
reflect,отражать
reflection,отражение
reform,реформа
refugee,беженцы
refuse,мусор
regard,внимание
regarding,касательно
regardless,несмотря ни на что
regime,режим
region,"область, край"
regional,региональный
register,регистр
regular,обычный
regularly,регулярно
regulate,регулировать
regulation,регулирование
reinforce,укреплять
reject,отклонять
relate,иметь отношение
relation,связь
relationship,отношение
relative,родственник
relatively,относительно
relax,расслабляться
release,выпускать
relevant,актуальны
relief,облегчение
religion,религия
religious,религиозной
rely,полагаться
remain,оставаться
remaining,остальной
remarkable,замечательный
remember,запомнить
remind,напоминать
remote,удаленный
remove,Удалить
repeat,повторить
repeatedly,неоднократно
replace,заменять
reply,Ответить
report,отчет
reporter,репортер
represent,представлять
representation,представление
representative,представитель
Republican,Республиканец
reputation,репутация
request,запрос
require,требовать
requirement,требование
research,исследование
researcher,Исследователь
resemble,напоминать
reservation,бронирование
resident,резидент
resist,сопротивляться
resistance,сопротивление
resolution,разрешающая способность
resolve,решать
resort,прибегнуть
resource,ресурс
respect,уважать
respond,реагировать
respondent,респондент
response,отклик
responsibility,обязанность
responsible,ответственный
rest,отдых
restaurant,ресторан
restore,восстановить
restriction,ограничение
result,результат
retain,удерживать
retire,выходить на пенсию
retirement,выход на пенсию
return,вернуть
reveal,раскрыть
revenue,доход
review,рассмотрение
revolution,революция
rhythm,ритм
rice,рис
rich,богатый
rid,избавлять
ride,поездка
rifle,винтовка
right,правильно
ring,звенеть
rise,рост
risk,риск
river,река
road,Дорога
rock,рок
role,роль
roll,рулон
romantic,романтик
roof,крыша
room,номер
root,корень
rope,веревка
rose,Роза
rough,грубый
roughly,грубо
round,круглый
route,маршрут
routine,рутина
row,ряд
rub,натирать
rule,правило
run,бегать
running,Бег
rural,деревенский
rush,порыв
Russian,русский
sacred,священный
sad,печальный
safe,безопасно
safety,безопасность
sake,сакэ
salad,салат
salary,зарплата
sale,продажа
sales,продажи
salt,поваренная соль
same,такой же
sample,образец
sanction,санкция
sand,песок
satellite,спутниковое
satisfaction,удовлетворение
satisfy,удовлетворять
sauce,соус
save,спасти
saving,сохранение
say,сказать
scale,шкала
scandal,скандал
scared,испуганный
scenario,сценарий
scene,место действия
schedule,расписание
scheme,схема
scholar,ученый
scholarship,стипендия
school,школа
science,наука
scientific,научный
scientist,ученый
scope,объем
score,счет
scream,крик
screen,экран
script,скрипт
sea,море
search,поиск
season,сезон
seat,сиденье
second,второй
secret,секретарь
secretary,секретарь
section,раздел
sector,сектор
secure,безопасный
security,безопасность
see,видеть
seed,семя
seek,стремиться
seem,казаться
segment,сегмент
seize,воспользоваться
select,Выбрать
selection,выбор
self,себя
sell,продавать
Senate,Сенат
senator,сенатор
send,Отправить
senior,старший
sense,смысл
sensitive,чувствительный
sentence,предложение
separate,отдельный
sequence,последовательность
series,ряд
serious,серьезный
seriously,серьезно
serve,обслуживать
service,оказание услуг
session,сессия
set,задавать
setting,параметр
settle,селиться
settlement,поселок
seven,Семь
several,несколько
severe,серьезный
sex,секс
sexual,сексуальный
shade,оттенок
shadow,тень
shake,встряхнуть
shall,должен
shape,форма
share,доля
sharp,острый
she,она
sheet,лист
shelf,полка
shell,оболочка
shelter,приют
shift,сдвиг
shine,блеск
ship,корабль
shirt,Рубашка
shit,дерьмо
shock,шок
shoe,обувь
shoot,стрелять
shooting,стрельба
shop,магазин
shopping,поход по магазинам
shore,берег
short,короткая
shortly,в ближайшее время
shot,выстрелил
should,должен
shoulder,плечо
shout,кричать
show,показывать
shower,душ
shrug,пожимать
shut,закрыть
sick,больной
side,сторона
sigh,вздох
sight,зрение
sign,подписать
signal,сигнал
significance,значимость
significant,значительное
significantly,существенно
silence,тишина
silent,тихий
silver,Серебряный
similar,аналогичный
similarly,по аналогии
simple,просто
simply,просто
sin,греха
since,поскольку
sing,петь
singer,певица
single,Один
sink,раковина
sir,сэр
sister,сестра
sit,сидеть
site,сайт
situation,ситуация
six,шесть
size,размер
ski,лыж
skill,навык
skin,кожа
sky,небо
slave,раб
sleep,спать
slice,ломтик
slide,горка
slight,незначительный
slightly,немного
slip,соскальзывать
slow,медленный
slowly,медленно
small,небольшой
smart,умный
smell,запах
smile,улыбка
smoke,курить
smooth,гладкий
snap,щелчок
snow,снег
so,так
so-called,так называемый
soccer,футбольный
social,Социальное
society,общество
soft,мягкий
software,программное обеспечение
soil,пачкаться
solar,солнечный
soldier,солдат
solid,твердый
solution,решение
solve,решить
some,немного
somebody,кто-нибудь
somehow,как-то
someone,кто-то
something,что-то
sometimes,иногда
somewhat,в некотором роде
somewhere,где-то
son,сын
song,песня
soon,скоро
sophisticated,сложный
sorry,Прости
sort,Сортировать
soul,душа
sound,звук
soup,суп
source,источник
south,юг
southern,южный
Soviet,Советский
space,пространство
Spanish,испанский язык
speak,разговаривать
speaker,оратор
special,особый
specialist,специалист
species,разновидность
specific,специфический
specifically,конкретно
speech,речь
speed,скорость
spend,проводить
spending,расходы
spin,вращаться
spirit,дух
spiritual,духовный
split,расколоть
spokesman,пресс-секретарь
sport,спорт
spot,обнаруживать
spread,распространение
spring,весна
square,квадратный
squeeze,сжимать
stability,устойчивость
stable,стабильный
staff,персонал
stage,сцена
stair,лестница
stake,доли
stand,стоять
standard,стандартный
standing,стоянок
star,звезда
stare,глазеть
start,Начало
state,состояние
statement,утверждение
station,станция
statistics,статистика
status,положение дел
stay,оставаться
steady,устойчивый
steal,воровать
steel,сталь
step,шаг
stick,палка
still,еще
stir,размешивать
stock,снабжать
stomach,желудок
stone,камень
stop,остановка
storage,место хранения
store,хранить
storm,буря
story,история
straight,прямой
strange,странный
stranger,незнакомец
strategic,стратегический
strategy,стратегия
stream,поток
street,улица
strength,прочность
strengthen,укреплять
stress,стресс
stretch,протяжение
strike,наносить удар
string,нить
strip,полоска
stroke,Инсульт
strong,сильный
strongly,сильно
structure,структура
struggle,борьба
student,ученик
studio,студия
study,изучать
stuff,вещи
stupid,тупой
style,стиль
subject,тема
submit,представить
subsequent,последующий
substance,вещество
substantial,существенный
succeed,преуспеть
success,успех
successful,успешный
successfully,успешно
such,такой
sudden,внезапный
suddenly,"вдруг, внезапно"
sue,Сью
suffer,страдать
sufficient,достаточный
sugar,сахар
suggest,предлагать
suggestion,предложение
suicide,самоубийство
suit,подходить
summer,лето
summit,саммит
sun,солнце
super,супер
supply,поставка
support,служба поддержки
supporter,сторонник
suppose,предполагать
supposed,предполагаемый
Supreme,Верховный
sure,Конечно
surely,конечно
surface,поверхность
surgery,операция
surprise,сюрприз
surprised,удивлен
surprising,удивительно
surprisingly,удивительно
surround,окружить
survey,опрос
survival,выживание
survive,выживать
survivor,выживший
suspect,подозревать
sustain,поддерживать
swear,клясться
sweep,сметать
sweet,милая
swim,плавать
swing,качать
switch,выключатель
symbol,символ
symptom,симптом
system,система
table,стол
tablespoon,столовая ложка
tactic,Тактика
tail,хвостик
take,брать
tale,осторожность
talent,талант
talk,говорить
tall,высокий
tank,бак
tap,кран
tape,Лента
target,цель
task,задача
taste,вкус
tax,налог
taxpayer,налогоплательщик
tea,чай
teach,учить
teacher,учитель
teaching,преподавание
team,команда
tear,рвать
teaspoon,чайная ложка
technical,техническое средство
technique,техника
technology,технология
teen,подросток
teenager,подросток
telephone,телефон
telescope,телескоп
television,телевидение
tell,рассказать
temperature,температура
temporary,временный
ten,десять
tend,иметь тенденцию
tendency,тенденция
tennis,теннис
tension,напряжение
tent,палатка
term,срок
terms,термины
terrible,ужасный
territory,территория
terror,терроризм
terrorism,терроризм
terrorist,террорист
test,тестовое задание
testify,свидетельствовать
testimony,свидетельство
testing,тестирование
text,текст
than,чем
thank,благодарить
thanks,Спасибо
that,это
the,то
theater,театр
their,их
them,их
theme,тема
themselves,самих себя
then,тогда
theory,теория
therapy,терапия
there,там
therefore,следовательно
these,эти
they,Oни
thick,толстый
thin,тонкий
thing,предмет
think,думать
thinking,думать
third,в третьих
thirty,тридцать
this,это
those,те
though,хоть
thought,мысль
thousand,тысяча
threat,угроза
threaten,угрожать
three,три
throat,горло
through,через
throughout,на протяжении
throw,бросать
thus,таким образом
ticket,проездной билет
tie,галстук
tight,в обтяжку
time,время
tiny,крошечный
tip,наконечник
tire,шина
tired,устала
tissue,ткань
title,заглавие
to,к
tobacco,табак
today,сегодня
toe,палец на ноге
together,вместе
tomato,помидор
tomorrow,завтра
tone,тон
tongue,язык
tonight,сегодня вечером
too,слишком
tool,инструмент
tooth,зуб
top,верх
topic,тема
toss,жеребьевка
total,Всего
totally,полностью
touch,трогать
tough,жесткий
tour,тур
tourist,турист
tournament,турнир
toward,к
towards,к
tower,башня
town,город
toy,игрушка
trace,след
track,отслеживать
trade,торговля
tradition,традиция
traditional,традиционный
traffic,трафик
tragedy,трагедия
trail,тащить
train,тренироваться
training,повышение квалификации
transfer,передача
transform,преобразование
transformation,преобразование
transition,переход
translate,переводить
transportation,транспорт
travel,путешествовать
treat,обращаться
treatment,лечение
treaty,договор
tree,дерево
tremendous,огромный
trend,тренд
trial,пробный
tribe,племя
trick,обманывать
trip,путешествие
troop,отряд
trouble,беда
truck,грузовик
TRUE,ИСТИННЫЙ
truly,действительно
trust,доверять
truth,правда
try,пытаться
tube,трубка
tunnel,туннель
turn,перемена
TV,телевидение
twelve,двенадцать
twenty,20
twice,дважды
twin,близнец
two,два
type,тип
typical,типичный
typically,типично
ugly,уродливый
ultimate,окончательный
ultimately,в конечном счете
unable,неспособный
uncle,дядя
under,под
undergo,подвергаться
understand,понимать
understanding,понимание
unfortunately,К сожалению
uniform,униформа
union,союз
unique,уникальный
unit,единица измерения
United,United.
universal,универсальный
universe,вселенная
university,Университет
unknown,неизвестный
unless,пока не
unlike,В отличие от
unlikely,навряд ли
until,до
unusual,необычный
up,вверх
upon,на
upper,верх
urban,городской
urge,побуждать
us,нас
use,использовать
used,использовал
useful,полезный
user,Пользователь
usual,обычный
usually,как правило
utility,полезность
vacation,отпуск
valley,Долина
valuable,ценный
value,стоимость
variable,Переменная
variation,вариация
variety,разнообразие
various,различный
vary,отличаться
vast,огромный
vegetable,овощ
vehicle,транспортное средство
venture,риск
version,версия
versus,против
very,очень
vessel,судно
veteran,ветеран
via,через
victim,жертва
victory,победа
video,видео
view,Посмотреть
viewer,просмотрщик
village,деревня
violate,нарушать
violation,нарушение
violence,насилие
violent,жестокий
virtually,практически
virtue,добродетель
virus,вирус
visible,видимый
vision,зрение
visit,посещение
visitor,посетитель
visual,визуальный
vital,жизненно важный
voice,голос
volume,объем
volunteer,волонтер
vote,голосование
voter,избирательный
vs,против
vulnerable,уязвимый
wage,заработная плата
wait,ждать
wake,будить
walk,ходить
wall,стена
wander,бродить
want,хочу
war,война
warm,теплый
warn,предупреждать
warning,предупреждение
wash,стирать
waste,напрасно тратить
watch,смотреть
water,вода
wave,волна
way,способ
we,мы
weak,слабый
wealth,богатство
wealthy,богатый
weapon,оружие
wear,носить
weather,Погода
wedding,свадьба
week,неделю
weekend,выходные дни
weekly,недельно
weigh,весить
weight,масса
welcome,Добро пожаловать
welfare,благосостояние
well,хорошо
west,Запад
western,западный
wet,влажный
what,какие
whatever,что бы ни
wheel,рулевое колесо
when,когда
whenever,в любое время
where,куда
whereas,в то время как
whether,будь то
which,который
while,пока
whisper,шепот
white,белый
who,ВОЗ
whole,все
whom,кого
whose,чья
why,Зачем
wide,широкий
widely,широко
widespread,широко распространен
wife,жена
wild,дикий
will,буду
willing,готовый
win,победить
wind,ветер
window,окно
wine,вино
wing,крыло
winner,победитель
winter,зима
wipe,вытирать
wire,провод
wisdom,мудрость
wise,Мудрый
wish,желание
with,с участием
withdraw,снять со счета
within,в пределах
without,без
witness,свидетель
woman,женщина
wonder,задаваться вопросом
wonderful,замечательный
wood,древесина
wooden,деревянный
word,слово
work,работай
worker,работник
working,работающий
works,работает
workshop,мастерская
world,Мир
worried,волновался
worry,волноваться
worth,стоимость
would,было бы
wound,ранить
wrap,сворачивать
write,записывать
writer,писатель
writing,пишу
wrong,неправильно
yard,площадка
yeah,Да
year,год
yell,кричать
yellow,желтый
yes,да
yesterday,вчера
yet,все же
yield,урожай
you,ты
young,молодой
your,твой
yours,ваша
yourself,сами
youth,молодежь
zone,зона
