,English,Russian
1402,internal,внутренний
1403,international,Международный
1404,Internet,Интернет
1405,interpret,интерпретировать
1406,interpretation,интерпретация
1407,intervention,вмешательство
1408,interview,опрос
1409,into,в
1410,introduce,представлять
1411,introduction,введение
1412,invasion,вторжение
1413,invest,вкладывать деньги
1414,investigate,расследовать
1415,investigation,изучение
1416,investigator,следователь
1417,investment,инвестиции
1418,investor,инвестор
1419,invite,приглашать
1420,involve,вовлекать
1421,involved,вовлеченный
1422,involvement,участие
1423,Iraqi,Ирак
1424,Irish,Ирландский
1425,iron,железо
1426,Islamic,Исламский
1427,island,остров
1428,Israeli,Израильский
1429,issue,проблема
1430,it,Это
1431,Italian,Итальянский
1432,item,пункт
1433,its,это
1434,itself,сам
1435,jacket,куртка
1436,jail,тюрьма
1437,Japanese,японский язык
1438,jet,самолет
1439,Jew,Еврей
1440,Jewish,Еврейский
1441,job,работа
1442,join,присоединиться
1443,joint,соединение
1444,joke,шутить
1445,journal,журнал
1446,journalist,журналистка
1447,journey,путешествие
1448,joy,радость
1449,judge,судить
1450,judgment,суждение
1451,juice,сок
1452,jump,Прыгать
1453,junior,младший
1454,jury,жюри
1455,just,только что
1456,justice,справедливость
1457,justify,оправдывать
1458,keep,держать
1459,key,ключ
1460,kick,пинать
1461,kid,дитя
1462,kill,убийство
1463,killer,убийца
1464,killing,убийство
1465,kind,Добрый
1466,king,король
1467,kiss,целовать
1468,kitchen,кухня
1469,knee,колено
1470,knife,нож
1471,knock,постучать
1472,know,знать
1473,knowledge,знание
1474,lab,лаборатория
1475,label,этикетка
1476,labor,"труд, работа"
1477,laboratory,лаборатория
1478,lack,недостаток
1479,lady,леди
1480,lake,озеро
1481,land,земля
1482,landscape,пейзаж
1483,language,язык
1484,lap,колени
1485,large,большой
1486,largely,во многом
1487,last,прошлой
1488,late,поздно
1489,later,позже
1490,Latin,латинский
1491,latter,последний
1492,laugh,смех
1493,launch,запуск
1494,law,закон
1495,lawn,лужайка
1496,lawsuit,иск
1497,lawyer,юрист
1498,lay,класть
1499,layer,слой
1500,lead,Свинец
1501,leader,лидер
1502,leadership,лидерство
1503,leading,ведущий
1504,leaf,лист
1505,league,лига
1506,lean,наклонять
1507,learn,учить
1508,learning,учусь
1509,least,наименее
1510,leather,натуральная кожа
1511,leave,покинуть
1512,left,осталось
1513,leg,нога
1514,legacy,наследие
1515,legal,юридический
1516,legend,легенда
1517,legislation,законодательство
1518,legitimate,легитим
1519,lemon,лимон
1520,length,длина
1521,less,меньше
1522,lesson,урок
1523,let,позволять
1524,letter,письмо
1525,level,уровень
1526,liberal,либеральный
1527,library,библиотека
1528,license,лицензия
1529,lie,ложь
1530,life,жизнь
1531,lifestyle,Стиль жизни
1532,lifetime,продолжительность жизни
1533,lift,поднимать
1534,light,свет
1535,like,подобно
1536,likely,скорее всего
1537,limit,предел
1538,limitation,ограничение
1539,limited,ограниченное
1540,line,линия
1541,link,связь
1542,lip,губа
1543,list,список
1544,listen,Слушать
1545,literally,буквально
1546,literary,литературный
1547,literature,литература
1548,little,маленький
1549,live,жить
1550,living,жизнь
1551,load,нагрузка
1552,loan,заем
1553,local,местный
1554,locate,находка
1555,location,место нахождения
1556,lock,замок
1557,long,длинная
1558,long-term,долгосрочный
1559,look,Смотреть
1560,loose,свободный
1561,lose,терять
1562,loss,потеря
1563,lost,потерянный
1564,lot,много
1565,lots,много
1566,loud,громко
1567,love,любовь
1568,lovely,прекрасный
1569,lover,возлюбленный
1570,low,низкий
1571,lower,ниже
1572,luck,удача
1573,lucky,везучий
1574,lunch,обед
1575,lung,легкое
1576,machine,машина
1577,mad,без ума
1578,magazine,журнал
1579,mail,Почта
1580,main,основной
1581,mainly,в основном
1582,maintain,поддерживать
1583,maintenance,Обслуживание
1584,major,главный
1585,majority,большинство
1586,make,сделать
1587,maker,производителя
1588,makeup,"макияж, мириться"
1589,male,мужчина
1590,mall,торговый центр
1591,man,человек
1592,manage,управлять
1593,management,управление
1594,manager,управляющий делами
1595,manner,манера
1596,manufacturer,производителя
1597,manufacturing,производство
1598,many,много
1599,map,карта
1600,margin,поле
1601,mark,отметка
1602,market,рынок
1603,marketing,маркетинг
1604,marriage,брак
1605,married,женат замужем
1606,marry,выходит замуж
1607,mask,маска
1608,mass,масса
1609,massive,массивный
1610,master,владелец
1611,match,соответствовать
1612,material,материал
1613,math,математика
1614,matter,иметь значение
1615,may,мая
1616,maybe,может быть
1617,mayor,мэр
1618,me,меня
1619,meal,еда
1620,mean,иметь в виду
1621,meaning,имея в виду
1622,meanwhile,тем временем
1623,measure,мера
1624,measurement,измерение
1625,meat,мясо
1626,mechanism,механизм
1627,media,СМИ
1628,medical,медицинский
1629,medication,медикамент
1630,medicine,медицина
1631,medium,Средняя
1632,meet,встретить
1633,meeting,встреча
1634,member,член
1635,membership,членство
1636,memory,Память
1637,mental,ментальный
1638,mention,упомянуть
1639,menu,меню
1640,mere,простой
1641,merely,просто
1642,mess,беспорядок
1643,message,сообщение
1644,metal,металл
1645,meter,метр
1646,method,метод
1647,Mexican,Мексиканский
1648,middle,середина
1649,might,мощь
1650,military,военный
1651,milk,молоко
1652,million,миллион
1653,mind,разум
1654,mine,мой
1655,minister,министр
1656,minor,незначительный
1657,minority,меньшинство
1658,minute,минута
1659,miracle,чудо
1660,mirror,зеркало
1661,miss,Мисс
1662,missile,ракета
1663,mission,миссия
1664,mistake,ошибка
1665,mix,смешивание
1666,mixture,смесь
1667,mm-hmm,мм-хм.
1668,mode,Режим
1669,model,модель
1670,moderate,умеренный
1671,modern,современный
1672,modest,скромный
1673,mom,Мама
1674,moment,момент
1675,money,Деньги
1676,monitor,мониторинг
1677,month,месяц
1678,mood,настроение
1679,moon,Луна
1680,moral,мораль
1681,more,более
1682,moreover,Кроме того
1683,morning,утро
1684,mortgage,ипотека
1685,most,наиболее
1686,mostly,в основном
1687,mother,мама
1688,motion,движение
1689,motivation,мотивация
1690,motor,мотор
1691,mount,устанавливать
1692,mountain,гора
1693,mouse,мышь
1694,mouth,рот
1695,move,переехать
1696,movement,движение
1697,movie,фильм
1698,Mr,г-н
1699,Mrs,Миссис
1700,Ms,РС
1701,much,много
1702,multiple,несколько
1703,murder,убийство
1704,muscle,мышцы
1705,museum,музей
1706,music,Музыка
1707,musical,мюзикл
1708,musician,музыкант
1709,Muslim,Мусульманин
1710,must,должен
1711,mutual,взаимный
1712,my,мой
1713,myself,себя
1714,mystery,тайна
1715,myth,миф
1716,naked,голый
1717,name,имя
1718,narrative,повествование
1719,narrow,узкий
1720,nation,нация
1721,national,национальный
1722,native,родной
1723,natural,естественный
1724,naturally,естественно
1725,nature,природа
1726,near,около
1727,nearby,"рядом, поблизости"
1728,nearly,Около
1729,necessarily,обязательно
1730,necessary,необходимо
1731,neck,шея
1732,need,нужно
1733,negative,отрицательный
1734,negotiate,вести переговоры
1735,negotiation,Переговоры
1736,neighbor,сосед
1737,neighborhood,район
1738,neither,ни один
1739,nerve,нервность
1740,nervous,нервный
1741,net,сеть
1742,network,сеть
1743,never,никогда
1744,nevertheless,тем не менее
1745,new,новый
1746,newly,вновь
1747,news,Новости
1748,newspaper,газета
1749,next,следующий
1750,nice,Приятно
1751,night,ночь
1752,nine,9
1753,no,нет
1754,nobody,никто
1755,nod,кивать головой
1756,noise,шум
1757,nomination,номинация
1758,none,никто
1759,nonetheless,тем не менее
1760,nor,ни
1761,normal,обычный
1762,normally,как обычно
1763,north,север
1764,northern,северный
1765,nose,нос
1766,not,нет
1767,note,Примечание
1768,nothing,ничего
1769,notice,уведомление
1770,notion,понятие
1771,novel,Роман
1772,now,сейчас
1773,nowhere,нигде
1774,n't,не
1775,nuclear,ядерный
1776,number,количество
1777,numerous,многочисленный
1778,nurse,медсестра
1779,nut,орех
1780,object,объект
1781,objective,цель
1782,obligation,обязательство
1783,observation,наблюдение
1784,observe,наблюдать
1785,observer,наблюдатель
1786,obtain,получать
1787,obvious,очевидный
1788,obviously,очевидно
1789,occasion,случай
1790,occasionally,иногда
1791,occupation,Занятие
1792,occupy,заниматься
1793,occur,происходить
1794,ocean,океан
1795,odd,странный
1796,odds,шансы
1797,of,из
1798,off,выключенный
1799,offense,преступление
1800,offensive,наступление
1801,offer,предложение
1802,office,офис
1803,officer,офицер
1804,official,официальный
1805,often,довольно часто
1806,oh,ой
1807,oil,масло
1808,ok,Ok
1809,okay,хорошо
1810,old,Старый
1811,Olympic,Олимпийский
1812,on,на
1813,once,однажды
1814,one,один
1815,ongoing,непрерывный
1816,onion,лук
1817,online,онлайн
1818,only,Только
1819,onto,на
1820,open,открытым
1821,opening,открытие
1822,operate,действовать
1823,operating,работа
1824,operation,эксплуатация
1825,operator,оператор
1826,opinion,мнение
1827,opponent,противник
1828,opportunity,возможность
1829,oppose,выступать
1830,opposite,противоположный
1831,opposition,оппозиция
1832,option,вариант
1833,or,или
1834,orange,апельсин
1835,order,заказ
1836,ordinary,обычный
1837,organic,органический
1838,organization,Организация
1839,organize,организовать
1840,orientation,ориентация
1841,origin,источник
1842,original,оригинал
1843,originally,Первоначально
1844,other,разное
1845,others,другие
1846,otherwise,иначе
1847,ought,должен
1848,our,наш
1849,ourselves,сами
1850,out,вне
1851,outcome,исход
1852,outside,за пределами
1853,oven,духовой шкаф
1854,over,над
1855,overall,в общем и целом
1856,overcome,превосходить
1857,overlook,не заметить
1858,owe,быть должным
1859,own,собственный
1860,owner,владелец
1861,pace,шаг
1862,pack,пакет
1863,package,упаковка
1864,page,страница
1865,pain,боль
1866,painful,болезненный
1867,paint,краска
1868,painter,художник
1869,painting,картина
1870,pair,пара
1871,pale,бледный
1872,Palestinian,Палестинский
1873,palm,ладонь
1874,pan,Сковорода
1875,panel,панель
1876,pant,заправлять
1877,paper,бумага
1878,parent,родитель
1879,park,парк
1880,parking,стоянка
1881,part,часть
1882,participant,участник
1883,participate,участвовать
1884,participation,участие
1885,particular,особый
1886,particularly,особенно
1887,partly,частично
1888,partner,партнер
1889,partnership,партнерство
1890,party,партия
1891,pass,проходить
1892,passage,проход
1893,passenger,пассажирский
1894,passion,страсть
1895,past,мимо
1896,patch,пластырь
1897,path,дорожка
1898,patient,пациент
1899,pattern,шаблон
1900,pause,Пауза
1901,pay,платить
1902,payment,оплата
1903,PC,ПК
1904,peace,мир
1905,peak,пик
1906,peer,вглядеться
1907,penalty,пенальти
1908,people,люди
1909,pepper,перец
1910,per,нами
1911,perceive,понимать
1912,percentage,процент
1913,perception,восприятие
1914,perfect,идеально
1915,perfectly,прекрасно
1916,perform,выполнять
1917,performance,представление
1918,perhaps,возможно
1919,period,период
1920,permanent,постоянный
1921,permission,разрешение
1922,permit,разрешать
1923,person,человек
1924,personal,личный
1925,personality,личность
1926,personally,лично
1927,personnel,персонал
1928,perspective,перспектива
1929,persuade,убеждать
1930,pet,домашний питомец
1931,phase,фаза
1932,phenomenon,феномен
1933,philosophy,философия
1934,phone,Телефон
1935,photo,Фото
1936,photograph,фотография
1937,photographer,фотограф
1938,phrase,фраза
1939,physical,физический
1940,physically,физически
1941,physician,врач
1942,piano,фортепиано
1943,pick,выбирать
1944,picture,картина
1945,pie,пирог
1946,piece,кусок
1947,pile,куча
1948,pilot,пилота
1949,pine,сосна
1950,pink,розовый
1951,pipe,трубка
1952,pitch,подача
1953,place,место
1954,plan,строить планы
1955,plane,самолет
1956,planet,планета
1957,planning,планирование
1958,plant,растение
1959,plastic,пластик
1960,plate,пластина
1961,platform,Платформа
1962,play,играть
1963,player,игрок
1964,please,пожалуйста
1965,pleasure,удовольствие
1966,plenty,множество
1967,plot,участок
1968,plus,плюс
1969,PM,ВЕЧЕРА
1970,pocket,карман
1971,poem,стих
1972,poet,поэт
1973,poetry,поэзия
1974,point,точка
1975,pole,столб
1976,police,полиция
1977,policy,политика
1978,political,политический
1979,politically,политически
1980,politician,политик
1981,politics,политика
1982,poll,опрос
1983,pollution,загрязнение
1984,pool,бассейн
1985,poor,бедных
1986,pop,поп
1987,popular,популярный
1988,population,Население
1989,porch,порог
1990,port,порт
1991,portion,часть
1992,portrait,портрет
1993,portray,изображать
1994,pose,поза
1995,position,позиция
1996,positive,положительный
1997,possess,владеть
1998,possibility,возможность
1999,possible,возможно
2000,possibly,возможно
2001,post,сообщение
2002,pot,горшок
2003,potato,картофель
2004,potential,потенциал
2005,potentially,потенциально
2006,pound,фунт
2007,pour,залить
2008,poverty,бедность
2009,powder,пудра
2010,power,власть
2011,powerful,мощный
2012,practical,практично
2013,practice,упражняться
2014,pray,молиться
2015,prayer,молитва
2016,precisely,точно
2017,predict,предсказывать
2018,prefer,предпочитать
2019,preference,предпочтение
2020,pregnancy,беременность
2021,pregnant,беременная
2022,preparation,подготовка
2023,prepare,подготовить
2024,prescription,рецепт
2025,presence,присутствие
2026,present,настоящее время
2027,presentation,презентация
2028,preserve,сохранять
2029,president,президент
2030,presidential,президентский
2031,press,нажимать
2032,pressure,давление
2033,pretend,делать вид
2034,pretty,симпатичный
2035,prevent,не допустить
2036,previous,предыдущий
2037,previously,ранее
2038,price,цена
2039,pride,гордость
2040,priest,священник
2041,primarily,в первую очередь
2042,primary,начальный
2043,prime,основной
2044,principal,главный
2045,principle,принцип
2046,print,Распечатать
2047,prior,прежний
2048,priority,приоритет
2049,prison,тюрьма
2050,prisoner,заключенный
2051,privacy,Конфиденциальность
2052,private,частный
2053,probably,наверное
2054,problem,проблема
2055,procedure,процедура
2056,proceed,продолжить
2057,process,обработать
2058,produce,производить
2059,producer,режиссер
2060,product,товар
2061,production,производство
2062,profession,профессия
2063,professional,профессиональный
2064,professor,профессор
2065,profile,профиль
2066,profit,выгода
2067,program,программа
2068,progress,прогресс
2069,project,проект
2070,prominent,видный
2071,promise,обещать
2072,promote,продвигать
2073,prompt,быстрый
2074,proof,доказательство
2075,proper,правильный
2076,properly,должным образом
2077,property,имущество
2078,proportion,пропорционально
2079,proposal,предложение
2080,propose,проложить
2081,proposed,предложенный
2082,prosecutor,прокуратура
2083,prospect,проспект
2084,protect,защищать
2085,protection,защита
2086,protein,белок
2087,protest,акция протеста
2088,proud,гордый
2089,prove,доказывать
2090,provide,предоставлять
2091,provider,провайдер
2092,province,провинция
2093,provision,обеспечение
2094,psychological,психологический
2095,psychologist,психолог
2096,psychology,психология
2097,public,публичный
2098,publication,публикация
2099,publicly,публично
2100,publish,публиковать
2101,publisher,издательство
2102,pull,тянуть
2103,punishment,наказание
2104,purchase,покупка
2105,pure,чистый
2106,purpose,цель
2107,pursue,преследовать
2108,push,толкать
2109,put,помещать
2110,qualify,квалифицировать
2111,quality,качественный
2112,quarter,четверть
2113,quarterback,защитник
2114,question,вопрос
2115,quick,быстро
2116,quickly,быстро
2117,quiet,тихий
2118,quietly,тихо
2119,quit,покидать
2120,quite,довольно
2121,quote,Цитировать
2122,race,раса
2123,racial,расовый
2124,radical,радикал
2125,radio,радио
2126,rail,рельс
2127,rain,дождь
2128,raise,поднимать
2129,range,спектр
2130,rank,классифицировать
2131,rapid,стремительный
2132,rapidly,быстро
2133,rare,редкий
2134,rarely,редко
2135,rate,показатель
2136,rather,скорее
2137,rating,рейтинг
2138,ratio,соотношение
2139,raw,сырой
2140,reach,достигать
2141,react,реагировать
2142,reaction,реакция
2143,read,читать
2144,reader,читатель
2145,reading,чтение
2146,ready,готов
2147,real,настоящий
2148,reality,реальность
2149,realize,понимать
2150,really,В самом деле
2151,reason,причина
2152,reasonable,разумный
2153,recall,отзывать
2154,receive,получать
2155,recent,недавний
2156,recently,совсем недавно
2157,recipe,рецепт блюда
2158,recognition,признание
2159,recognize,распознавать
2160,recommend,рекомендовать
2161,recommendation,рекомендация
2162,record,записывать
2163,recording,запись
2164,recover,восстанавливаться
2165,recovery,восстановление
2166,recruit,принять на работу
2167,red,красный
2168,reduce,уменьшать
2169,reduction,снижение
2170,refer,ссылаться
2171,reference,ссылка
2172,reflect,отражать
2173,reflection,отражение
2174,reform,реформа
2175,refugee,беженцы
2176,refuse,мусор
2177,regard,внимание
2178,regarding,касательно
2179,regardless,несмотря ни на что
2180,regime,режим
2181,region,"область, край"
2182,regional,региональный
2183,register,регистр
2184,regular,обычный
2185,regularly,регулярно
2186,regulate,регулировать
2187,regulation,регулирование
2188,reinforce,укреплять
2189,reject,отклонять
2190,relate,иметь отношение
2191,relation,связь
2192,relationship,отношение
2193,relative,родственник
2194,relatively,относительно
2195,relax,расслабляться
2196,release,выпускать
2197,relevant,актуальны
2198,relief,облегчение
2199,religion,религия
2200,religious,религиозной
2201,rely,полагаться
2202,remain,оставаться
2203,remaining,остальной
2204,remarkable,замечательный
2205,remember,запомнить
2206,remind,напоминать
2207,remote,удаленный
2208,remove,Удалить
2209,repeat,повторить
2210,repeatedly,неоднократно
2211,replace,заменять
2212,reply,Ответить
2213,report,отчет
2214,reporter,репортер
2215,represent,представлять
2216,representation,представление
2217,representative,представитель
2218,Republican,Республиканец
2219,reputation,репутация
2220,request,запрос
2221,require,требовать
2222,requirement,требование
2223,research,исследование
2224,researcher,Исследователь
2225,resemble,напоминать
2226,reservation,бронирование
2227,resident,резидент
2228,resist,сопротивляться
2229,resistance,сопротивление
2230,resolution,разрешающая способность
2231,resolve,решать
2232,resort,прибегнуть
2233,resource,ресурс
2234,respect,уважать
2235,respond,реагировать
2236,respondent,респондент
2237,response,отклик
2238,responsibility,обязанность
2239,responsible,ответственный
2240,rest,отдых
2241,restaurant,ресторан
2242,restore,восстановить
2243,restriction,ограничение
2244,result,результат
2245,retain,удерживать
2246,retire,выходить на пенсию
2247,retirement,выход на пенсию
2248,return,вернуть
2249,reveal,раскрыть
2250,revenue,доход
2251,review,рассмотрение
2252,revolution,революция
2253,rhythm,ритм
2254,rice,рис
2255,rich,богатый
2256,rid,избавлять
2257,ride,поездка
2258,rifle,винтовка
2259,right,правильно
2260,ring,звенеть
2261,rise,рост
2262,risk,риск
2263,river,река
2264,road,Дорога
2265,rock,рок
2266,role,роль
2267,roll,рулон
2268,romantic,романтик
2269,roof,крыша
2270,room,номер
2271,root,корень
2272,rope,веревка
2273,rose,Роза
2274,rough,грубый
2275,roughly,грубо
2276,round,круглый
2277,route,маршрут
2278,routine,рутина
2279,row,ряд
2280,rub,натирать
2281,rule,правило
2282,run,бегать
2283,running,Бег
2284,rural,деревенский
2285,rush,порыв
2286,Russian,русский
2287,sacred,священный
2288,sad,печальный
2289,safe,безопасно
2290,safety,безопасность
2291,sake,сакэ
2292,salad,салат
2293,salary,зарплата
2294,sale,продажа
2295,sales,продажи
2296,salt,поваренная соль
2297,same,такой же
2298,sample,образец
2299,sanction,санкция
2300,sand,песок
2301,satellite,спутниковое
2302,satisfaction,удовлетворение
2303,satisfy,удовлетворять
2304,sauce,соус
2305,save,спасти
2306,saving,сохранение
2307,say,сказать
2308,scale,шкала
2309,scandal,скандал
2310,scared,испуганный
2311,scenario,сценарий
2312,scene,место действия
2313,schedule,расписание
2314,scheme,схема
2315,scholar,ученый
2316,scholarship,стипендия
2317,school,школа
2318,science,наука
2319,scientific,научный
2320,scientist,ученый
2321,scope,объем
2322,score,счет
2323,scream,крик
2324,screen,экран
2325,script,скрипт
2326,sea,море
2327,search,поиск
2328,season,сезон
2329,seat,сиденье
2330,second,второй
2331,secret,секретарь
2332,secretary,секретарь
2333,section,раздел
2334,sector,сектор
2335,secure,безопасный
2336,security,безопасность
2337,see,видеть
2338,seed,семя
2339,seek,стремиться
2340,seem,казаться
2341,segment,сегмент
2342,seize,воспользоваться
2343,select,Выбрать
2344,selection,выбор
2345,self,себя
2346,sell,продавать
2347,Senate,Сенат
2348,senator,сенатор
2349,send,Отправить
2350,senior,старший
2351,sense,смысл
2352,sensitive,чувствительный
2353,sentence,предложение
2354,separate,отдельный
2355,sequence,последовательность
2356,series,ряд
2357,serious,серьезный
2358,seriously,серьезно
2359,serve,обслуживать
2360,service,оказание услуг
2361,session,сессия
2362,set,задавать
2363,setting,параметр
2364,settle,селиться
2365,settlement,поселок
2366,seven,Семь
2367,several,несколько
2368,severe,серьезный
2369,sex,секс
2370,sexual,сексуальный
2371,shade,оттенок
2372,shadow,тень
2373,shake,встряхнуть
2374,shall,должен
2375,shape,форма
2376,share,доля
2377,sharp,острый
2378,she,она
2379,sheet,лист
2380,shelf,полка
2381,shell,оболочка
2382,shelter,приют
2383,shift,сдвиг
2384,shine,блеск
2385,ship,корабль
2386,shirt,Рубашка
2387,shit,дерьмо
2388,shock,шок
2389,shoe,обувь
2390,shoot,стрелять
2391,shooting,стрельба
2392,shop,магазин
2393,shopping,поход по магазинам
2394,shore,берег
2395,short,короткая
2396,shortly,в ближайшее время
2397,shot,выстрелил
2398,should,должен
2399,shoulder,плечо
2400,shout,кричать
2401,show,показывать
2402,shower,душ
2403,shrug,пожимать
2404,shut,закрыть
2405,sick,больной
2406,side,сторона
2407,sigh,вздох
2408,sight,зрение
2409,sign,подписать
2410,signal,сигнал
2411,significance,значимость
2412,significant,значительное
2413,significantly,существенно
2414,silence,тишина
2415,silent,тихий
2416,silver,Серебряный
2417,similar,аналогичный
2418,similarly,по аналогии
2419,simple,просто
2420,simply,просто
2421,sin,греха
2422,since,поскольку
2423,sing,петь
2424,singer,певица
2425,single,Один
2426,sink,раковина
2427,sir,сэр
2428,sister,сестра
2429,sit,сидеть
2430,site,сайт
2431,situation,ситуация
2432,six,шесть
2433,size,размер
2434,ski,лыж
2435,skill,навык
2436,skin,кожа
2437,sky,небо
2438,slave,раб
2439,sleep,спать
2440,slice,ломтик
2441,slide,горка
2442,slight,незначительный
2443,slightly,немного
2444,slip,соскальзывать
2445,slow,медленный
2446,slowly,медленно
2447,small,небольшой
2448,smart,умный
2449,smell,запах
2450,smile,улыбка
2451,smoke,курить
2452,smooth,гладкий
2453,snap,щелчок
2454,snow,снег
2455,so,так
2456,so-called,так называемый
2457,soccer,футбольный
2458,social,Социальное
2459,society,общество
2460,soft,мягкий
2461,software,программное обеспечение
2462,soil,пачкаться
2463,solar,солнечный
2464,soldier,солдат
2465,solid,твердый
2466,solution,решение
2467,solve,решить
2468,some,немного
2469,somebody,кто-нибудь
2470,somehow,как-то
2471,someone,кто-то
2472,something,что-то
2473,sometimes,иногда
2474,somewhat,в некотором роде
2475,somewhere,где-то
2476,son,сын
2477,song,песня
2478,soon,скоро
2479,sophisticated,сложный
2480,sorry,Прости
2481,sort,Сортировать
2482,soul,душа
2483,sound,звук
2484,soup,суп
2485,source,источник
2486,south,юг
2487,southern,южный
2488,Soviet,Советский
2489,space,пространство
2490,Spanish,испанский язык
2491,speak,разговаривать
2492,speaker,оратор
2493,special,особый
2494,specialist,специалист
2495,species,разновидность
2496,specific,специфический
2497,specifically,конкретно
2498,speech,речь
2499,speed,скорость
2500,spend,проводить
2501,spending,расходы
2502,spin,вращаться
2503,spirit,дух
2504,spiritual,духовный
2505,split,расколоть
2506,spokesman,пресс-секретарь
2507,sport,спорт
2508,spot,обнаруживать
2509,spread,распространение
2510,spring,весна
2511,square,квадратный
2512,squeeze,сжимать
2513,stability,устойчивость
2514,stable,стабильный
2515,staff,персонал
2516,stage,сцена
2517,stair,лестница
2518,stake,доли
2519,stand,стоять
2520,standard,стандартный
2521,standing,стоянок
2522,star,звезда
2523,stare,глазеть
2524,start,Начало
2525,state,состояние
2526,statement,утверждение
2527,station,станция
2528,statistics,статистика
2529,status,положение дел
2530,stay,оставаться
2531,steady,устойчивый
2532,steal,воровать
2533,steel,сталь
2534,step,шаг
2535,stick,палка
2536,still,еще
2537,stir,размешивать
2538,stock,снабжать
2539,stomach,желудок
2540,stone,камень
2541,stop,остановка
2542,storage,место хранения
2543,store,хранить
2544,storm,буря
2545,story,история
2546,straight,прямой
2547,strange,странный
2548,stranger,незнакомец
2549,strategic,стратегический
2550,strategy,стратегия
2551,stream,поток
2552,street,улица
2553,strength,прочность
2554,strengthen,укреплять
2555,stress,стресс
2556,stretch,протяжение
2557,strike,наносить удар
2558,string,нить
2559,strip,полоска
2560,stroke,Инсульт
2561,strong,сильный
2562,strongly,сильно
2563,structure,структура
2564,struggle,борьба
2565,student,ученик
2566,studio,студия
2567,study,изучать
2568,stuff,вещи
2569,stupid,тупой
2570,style,стиль
2571,subject,тема
2572,submit,представить
2573,subsequent,последующий
2574,substance,вещество
2575,substantial,существенный
2576,succeed,преуспеть
2577,success,успех
2578,successful,успешный
2579,successfully,успешно
2580,such,такой
2581,sudden,внезапный
2582,suddenly,"вдруг, внезапно"
2583,sue,Сью
2584,suffer,страдать
2585,sufficient,достаточный
2586,sugar,сахар
2587,suggest,предлагать
2588,suggestion,предложение
2589,suicide,самоубийство
2590,suit,подходить
2591,summer,лето
2592,summit,саммит
2593,sun,солнце
2594,super,супер
2595,supply,поставка
2596,support,служба поддержки
2597,supporter,сторонник
2598,suppose,предполагать
2599,supposed,предполагаемый
2600,Supreme,Верховный
2601,sure,Конечно
2602,surely,конечно
2603,surface,поверхность
2604,surgery,операция
2605,surprise,сюрприз
2606,surprised,удивлен
2607,surprising,удивительно
2608,surprisingly,удивительно
2609,surround,окружить
2610,survey,опрос
2611,survival,выживание
2612,survive,выживать
2613,survivor,выживший
2614,suspect,подозревать
2615,sustain,поддерживать
2616,swear,клясться
2617,sweep,сметать
2618,sweet,милая
2619,swim,плавать
2620,swing,качать
2621,switch,выключатель
2622,symbol,символ
2623,symptom,симптом
2624,system,система
2625,table,стол
2626,tablespoon,столовая ложка
2627,tactic,Тактика
2628,tail,хвостик
2629,take,брать
2630,tale,осторожность
2631,talent,талант
2632,talk,говорить
2633,tall,высокий
2634,tank,бак
2635,tap,кран
2636,tape,Лента
2637,target,цель
2638,task,задача
2639,taste,вкус
2640,tax,налог
2641,taxpayer,налогоплательщик
2642,tea,чай
2643,teach,учить
2644,teacher,учитель
2645,teaching,преподавание
2646,team,команда
2647,tear,рвать
2648,teaspoon,чайная ложка
2649,technical,техническое средство
2650,technique,техника
2651,technology,технология
2652,teen,подросток
2653,teenager,подросток
2654,telephone,телефон
2655,telescope,телескоп
2656,television,телевидение
2657,tell,рассказать
2658,temperature,температура
2659,temporary,временный
2660,ten,десять
2661,tend,иметь тенденцию
2662,tendency,тенденция
2663,tennis,теннис
2664,tension,напряжение
2665,tent,палатка
2666,term,срок
2667,terms,термины
2668,terrible,ужасный
2669,territory,территория
2670,terror,терроризм
2671,terrorism,терроризм
2672,terrorist,террорист
2673,test,тестовое задание
2674,testify,свидетельствовать
2675,testimony,свидетельство
2676,testing,тестирование
2677,text,текст
2678,than,чем
2679,thank,благодарить
2680,thanks,Спасибо
2681,that,это
2682,the,то
2683,theater,театр
2684,their,их
2685,them,их
2686,theme,тема
2687,themselves,самих себя
2688,then,тогда
2689,theory,теория
2690,therapy,терапия
2691,there,там
2692,therefore,следовательно
2693,these,эти
2694,they,Oни
2695,thick,толстый
2696,thin,тонкий
2697,thing,предмет
2698,think,думать
2699,thinking,думать
2700,third,в третьих
2701,thirty,тридцать
2702,this,это
2703,those,те
2704,though,хоть
2705,thought,мысль
2706,thousand,тысяча
2707,threat,угроза
2708,threaten,угрожать
2709,three,три
2710,throat,горло
2711,through,через
2712,throughout,на протяжении
2713,throw,бросать
2714,thus,таким образом
2715,ticket,проездной билет
2716,tie,галстук
2717,tight,в обтяжку
2718,time,время
2719,tiny,крошечный
2720,tip,наконечник
2721,tire,шина
2722,tired,устала
2723,tissue,ткань
2724,title,заглавие
2725,to,к
2726,tobacco,табак
2727,today,сегодня
2728,toe,палец на ноге
2729,together,вместе
2730,tomato,помидор
2731,tomorrow,завтра
2732,tone,тон
2733,tongue,язык
2734,tonight,сегодня вечером
2735,too,слишком
2736,tool,инструмент
2737,tooth,зуб
2738,top,верх
2739,topic,тема
2740,toss,жеребьевка
2741,total,Всего
2742,totally,полностью
2743,touch,трогать
2744,tough,жесткий
2745,tour,тур
